title,price,address,latitude,longitude,description,room_size,furnished,private_bathroom,individual_or_double,room_position,rooms_available,flat_size,number_of_bathrooms,elevator,pool,terrace,washer_machine,dryer_machine,air_conditioning,heating,internet,tv,storage,flat_condition,pets_allowed,couples_allowed,smoking_allowed,original_file,date
habitación individual en carrer de santa maria 7,280.0,"c/ santa maría núm. 5,                                                                                                                              barri antic,                                                                                                                             manresa",41.7227356 ,1.8234625,"habitación amueblada con balcón privado en la zona de juzgados, piso con terraza. zona tranquila y en el centro de manresa. gastos no incluidos.",medium,True,False,True,exterior,4,100.0,1,False,False,False,True,False,False,False,True,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de jaume cantarer 2,400.0,"c/ jaume cantarer núm. 2,                                                                                                                              centre,                                                                                                                             terrassa",41.561604 ,2.0110674,"¡no busques más, este lugar te encontró! soy niah, tengo 28 años, soy escritora, modelo e influencer y quiero manifestar a la persona compatible conmigo y mis tres animales para una convivencia agradable. el piso está situado en terrassa, en pleno centro, a 4 minutos del ferrocarril de terrassa rambla. la zona es familiar y muy tranquila, llena de comercios. luz, agua, internet y asistenta del hogar incluido en el precio. por lo que no habría que limpiar. ¡imprescindible buena vibra y ser una persona limpia, ordenada y responsable! no te preocupes, ¡tengo las cosas claras pero también soy muy simpática!",medium,True,False,True,exterior,2,70.0,1,True,False,False,True,True,True,False,True,True,False,new,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de xifré 70,620.0,"c/ xifré núm. 70,                                                                                                                             el camp de l'arpa del clot,                                                                                                                             barcelona capital",41.410362 ,2.1816845,"habitacion de 16 m2 con ventana a la calle, en calle tranquila. habitacion amueblada. como en fotos (sin ropa de cama)el piso es un bajo de 65 m2 con una terraza de 40m2, donde se puede hacer barbacoas y esrar de tranquis con amigos, hay  1 baño y cocina office con el salon.tengo dos gatos por lo que se admiten personas con un gato ( tendriamos que ver tema de adaptacion) pero con perros imposible.la habitación son 620 euros + 80 euros de gastos (los gastos van aparte por si el gasto de luz o agua sube o baja)se busca persona agradable y tranquila, que respete las normas de convivencia (normales) si le gusta ver realitys chorra en netflix y pelis y series divertidas, es un plus. compartira piso conmigo, una chica de 34 años diseñadora de estampados, y mis dos gatos.",large,True,False,True,exterior,2,65.0,1,False,True,False,True,False,False,False,True,True,True,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer de calvet 48,570.0,"c/ calvet núm. 48,                                                                                                                             sant gervasi-galvany,                                                                                                                             barcelona capital",41.39519 ,2.142967,"se alquila habitación en piso compartido en francesc macià-diagonal, una de las mejores zonas de barcelona ciudad. bien conectado y cercano a la l5 y a la línea de ferrocarril, así como a los buses de bcn.la habitación es totalmente exterior y luminosa. cuenta con cama doble, un gran armario y una cómoda con espacio de sobra para guardar todo lo que se necesite. es amplia y cuenta con acceso directo al balcón.en cuanto a las zonas comunes, baño y cocina reformados, y un amplio salón que también da al exterior y al balcón, tal y como puede verse en las imágenes.precio 570€, se alquila solamente para larga duración, a compartir con dos chicas de 27 años que trabajan y son responsables, por lo que se buscaría un perfil similar (no se admiten parejas). para entrar el 1 de junio. para más información habladme por privado.",large,True,False,False,exterior,3,109.0,1,True,False,False,True,False,False,False,True,True,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de prat de la riba 150,375.0,"c/ prat de la riba núm. 150,                                                                                                                             vallparadís,                                                                                                                             terrassa",41.56892 ,2.0222783,"alquilo habitación amueblada con ventana exterior,  con acceso a dos baños, terraza, cocina, zona estudio.en vallparadis, zona escuelas/universidades., ideal para estudiantes entre 20 a 30 años.incluye, wifi, tv privada, limpieza xonas comun cada 15 dias, arcón frigorífico.no se alquila a extrangeros.el piso es esquinero, moderno, grande y luminoso, y centrico.se busca petsona tranquila, responsable, con trabajo o aval, para asegurar una buena convivencia con la propietaria.seria la única inquilina,, vivirá la propietaria, no se adminent visitas.vivo sola, mi familia viene de vez encuando unos dias con sus perros.",small,False,False,True,exterior,3,105.0,2,True,False,False,True,False,False,False,True,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer d'esteve paluzie 75,450.0,"c/ esteve paluzie núm. 75,                                                                                                                              la creu de barberà,                                                                                                                             sabadell",41.523945 ,2.1170955,"habitacion, agradable tranquila en creu de bárbararequiere una persona responsable, tranquila que tiene una vida sociable y tranquila",medium,False,False,False,exterior,1,9.0,1,False,False,False,True,False,False,False,True,True,False,refurbished,,,True,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en rambla de badal 46,450.0,"rbla badal núm. 46,                                                                                                                             la bordeta,                                                                                                                             barcelona capital",41.3677041 ,2.1339288,"alquilo habitación luminosa, con cama, armario, despacho y estanterías. cuarto de baño individual. cocina y lavadero con todos los electrodomésticos. internet. buena comunicación bus, metro. solo mujeres de 25 a 36 años, no fumadoras. 450€ mes.",medium,True,True,True,,2,90.0,2,True,False,False,True,True,False,False,True,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer del trinquet 6,550.0,"c/ trinquet núm. 6,                                                                                                                             sarrià,                                                                                                                             barcelona capital",41.395477 ,2.1209404,"se alquila habitación en un piso nuevo en una de las mejores ubicaciones de barcelona en frente del esade, en el barrio sarrià, muy cerca del camp nou. piso totalmente reformado, la habitación está amueblada, es muy amplia y con cama de 1,35 o de 0,90, orientadas a trabajadores y estudiantes. todos los gastos incluido (agua, luz, gas e internet). - cocina equipada con horno, microondas y lavavajillas. -se acepta contrato temporal, indefinido, en prácticas. estancia mínima 6 meses. no se aceptan mascotas ni menores de edad. solo whatssap: 6.2. 4.0. 2.7. 5.4. 5.",medium,True,False,True,exterior,5,145.0,2,True,False,False,False,False,False,False,True,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de ramon i cajal 63,395.0,"c/ ramon i cajal núm. 63,                                                                                                                             escola industrial-plaça de catalunya,                                                                                                                             terrassa",41.56283 ,2.0243175,"¡habitación disponible para menores de 25 años! ubicación privilegiada frente a la upc en terrassa.¿buscas un lugar cómodo y tranquilo para vivir? ¡este es tu piso!ubicación: calle ramon y cajal 63, terrassafrente a la universidad upccerca del gimnasio de la upc y biblioteca del campus de terrassaa escasos minutos del parc de vallparadís y el centro de la ciudadrodeado de supermercados, farmacias y transporte público (metro, tren, autobús)características del piso:aire acondicionado y calefacciónmicroondas vitrocerámicalavadora wifibalcón y lavaderoespacios amplios, cómodos, limpios y luminososespacio de vivienda tranquila y ambiente de vivienda pacíficorequisitos:menor de 25 añoscontrato de alquiler por 12 meses (mes corriente + fianza equivalente a 2 meses de alquiler)no se aceptan:•⁠  ⁠animales•⁠  ⁠fumar o bebe en el interior de la vivienda•⁠  ⁠parejas¡contacta por whatsapp 659436251 para más información y programar una visita!",large,True,False,True,exterior,4,100.0,1,True,False,False,True,False,True,False,True,True,True,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en passatge de sant ramon nonat 2,535.0,"c/ sant ramon nonat núm. 2,                                                                                                                             la maternitat-sant ramon,                                                                                                                             barcelona capital",41.3760245 ,2.1176155,"bienvenidos jóvenes trabajadores o felices estudiantes! ¡piso reformado hace poco, amueblado, listo para entrar a vivir, con los suministros y internet dados de alta. el piso tiene 4 habitaciones en total (así que tienes 3 compañeros de piso entre 20 y 30 años), una zona chill-out cocina/salón y un baño completo (aseo + ducha)!  los gastos de suministros son de 40 euros al mes (internet, agua, electricidad). la puerta de la habitación cierra con llave. el piso está ubicado en el barrio de collblanc.las 2 estaciones de metro las más cercas son collblanc (l5, l9s, l10s) y torrassa (l1, l9s, l10s).  se trata de una habitación doble con mucha luz y con unas vistas increíbles a las montañas de montjuic. se ve la parte alta de las tribunas del estadio del camp nou de barcelona. tiene una cama doble, un armario, varias estanterías, un escritorio con su silla de oficina bonita.",large,True,False,True,exterior,4,60.0,1,False,False,False,True,False,False,False,True,False,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer gran de gràcia 74,700.0,"c/ gran de gràcia núm. 74,                                                                                                                             la vila de gràcia,                                                                                                                             barcelona capital",41.400063 ,2.1555345,"habitación grande con 2 balcones, en piso de 6 habitaciones y 2 baños reformado en septiembre de 2022, situado en una de las mejores zonas de barcelona, cerca de todos los servicios y zonas de ocio. wifi y servicio de limpieza de zonas comunes  incluido en el precio.edificio con servicio de portería, disponible el 1 de mayo",large,True,False,True,exterior,6,180.0,2,False,False,False,True,True,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de la concòrdia 28,260.0,"c/ concordia núm. 28,                                                                                                                             el poble-sec,                                                                                                                             barcelona capital",41.3736338 ,2.1601736,"chica ,habitación para una chica, no fumadora. libre a partir del 16 de mayo.habitación interior con ventana. a 5 minutos del centro. al lado del metro l-3 línea verde, l-2. ambiente de estudio y trabajo. situado en el barrio de poble sec, cerca del mercat de sant antoni, y del parc de montjuic. con todo tipo de servicios y comercios alrededor.",small,True,False,True,,3,60.0,1,True,False,False,True,False,True,False,True,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en plaça d'ildefons cerdà 1,590.0,"pza. ildefons cerda núm. 1,                                                                                                                             la font de la guatlla,                                                                                                                             barcelona capital",41.3647488 ,2.1359908,"tengo disponible una habitación doble con baño privado, en bonito y cómodo piso para compartir entre estudiantes y gente joven. para entrar el 27 de abril.el piso dispone de 2 habitaciones dobles, 1 individual, salón-comedor, cocina, lavadero, 2 baños y una bonita terraza. está completamente equipado y amueblado, y tiene aire acondicionado y calefacción tanto en el comedor como en las habitaciones.ubicación: frente a la parada de metro ciutat de la justicia (l10s), en el barrio de sants-montjuic. también muy cerca de las paradas de metro santa eulalia (l1) y europa/fira (l9s). zona tranquila para vivir. buena comunicación con aeropuerto, zona universitaria, bellvitge y centro de barcelona.precio: 590€/mes, incluidos gastos de gas, agua, luz, internet fibra óptica 600 mb (con 2 tomas de cable de red por habitación) y servicio de limpieza de zonas comunes.",large,True,True,False,,3,80.0,2,True,False,False,True,False,True,False,True,True,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de castelao 124,480.0,"c/ castelao núm. 124,                                                                                                                              santa eulàlia,                                                                                                                             l'hospitalet de llobregat",41.362385 ,2.1251085,"es para compartir piso, solo seríamos dos y tú habitación es, luminosa, exterior, canapé 2 plazas, 2 mesitas de noche, gran armario,el  piso está  totalmente equipado y reformado: ) metro proveçana, autobuses, fgc. ikea, cc gran vía 2, ldl, mercadona,  a nueve minutos de la ciudad de la justicia. +25€ gastos al mes. tengo 2 gatitas .",large,True,False,True,exterior,3,68.0,1,False,False,False,True,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
se alquila habitación tipo loft,500.0,"c/ carrer major  núm. 406,404,                                                                                                                                                                      vallirana, barcelona",41.3853468 ,1.9318913,"se alquila habitación tipo loft  a una persona con nomina fija o pensionista, que sea tranquila , respetuosa, limpia ,discreta. derecho a baño, wifi ,cocina completa propia, nevera grande solo para el inquilino (equipada), lavadora, … zona céntrica pero muy tranquila, en la habitación no se escucha nada (total silencio). con derecho a luz y agua ( sin abusar). se admite mascota, siempre que lo cuide el propietario del animal , no el del piso . se admiten todo tipo de personas, músicos, veganos, etc. si no tienes coche la parada del bus esta justo al lado .  si quieren mas fotos escribir al numero de teléfono adjuntado .",medium,True,False,True,,1,100.0,1,True,True,False,True,False,False,True,True,False,False,good,,,True,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en avinguda de sant ramon nonat 4,535.0,"c/ sant ramon nonat núm. 1,                                                                                                                             la maternitat-sant ramon,                                                                                                                             barcelona capital",41.3760738 ,2.1170002,"bienvenidos jóvenes trabajadores o felices estudiantes! ¡piso reformado hace poco, amueblado, listo para entrar a vivir, con los suministros y internet dados de alta. el piso tiene 4 habitaciones en total (así que tienes 3 compañeros de piso entre 20 y 30 años), una zona chill-out cocina/salón y un baño completo (aseo + ducha)!  los gastos de suministros son de 40 euros al mes (internet, agua, electricidad). la puerta de la habitación cierra con llave. el piso está ubicado en el barrio de collblanc.las 2 estaciones de metro las más cercas son collblanc (l5, l9s, l10s) y torrassa (l1, l9s, l10s).  se trata de una habitación doble con mucha luz y con unas vistas increíbles a las montañas de montjuic. se ve la parte alta de las tribunas del estadio del camp nou de barcelona. tiene una cama doble, un armario, varias estanterías, un escritorio con su silla de oficina bonita.",large,True,False,True,exterior,4,56.0,1,False,False,False,True,False,False,False,True,False,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de pavia 51,490.0,"c/ pavia núm. 51,                                                                                                                             sants-badal,                                                                                                                             barcelona capital",41.37212 ,2.1305254,"descripciónalquilo habitacion con cama doble,armario,escritorio,conexion wifi. el piso esta todo amoblado,limpio y ordenado, hay tv, conexion adsl . el piso esta por la zona de sants en (badal).hay 2 linea de metro linea azul( l5) parada(badal) y roja (l1) parada (mercat nou) a 10 minutos de( plaza españa)y sants estacion. tambien hay varias lineas de autobuses que funcionan todo el dia y noche-659369569 marquinhos",medium,True,False,True,exterior,3,70.0,1,True,False,False,True,False,False,False,True,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de sant joan de malta 11,420.0,"c/ c/san joan de malta, 11 bajos.izda. núm. 11,                                                                                                                             el camp de l'arpa del clot,                                                                                                                             barcelona capital",41.4098787 ,2.1913369,"disponible a partir 1 julio  alquilo una habitación en una planta baja en un barrio muy bien comunicado muy alegre cómo es el clot con un centro comercial muy cerca el de glorias y con el tren al aeropuerto directo el metro autobuses, un mercado un paque para pasear hacer deporte...",medium,True,False,True,exterior,4,140.0,2,False,False,False,True,False,False,False,True,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer gran de gràcia 218,750.0,"c/ gran de gràcia núm. 218,                                                                                                                             la vila de gràcia,                                                                                                                             barcelona capital",41.404305 ,2.1520221,habitación muy confortable con balcón propio. muy buena ubicación con un ambiente muy agradable y un gatito muy agradable como inquilino (se llama fati). estamos buscando alguien para el mes de julio y agosto para poder disfrutar del verano en barcelona.,medium,True,False,True,exterior,3,60.0,1,True,False,False,True,True,False,False,True,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de la cultura 17,400.0,"c/ cultura núm. 17,                                                                                                                              riu nord-riu sud,                                                                                                                             santa coloma de gramenet",41.447617 ,2.2092357,"se busca mujer trabajadora o estudiante para habitación en santa coloma de gramenet. habitación amplia, amueblada, con ventana con vistas al exterior, tv, wifi y netflix. edificio tranquilo con pocos vecinos y terraza compartida en azotea. tareas de limpieza compartida con la propietaria. piso con mascotas (2 gatos), bien comunicado, cerca de metro y bus. zonas comunes (cocina, baño y terraza).",medium,True,False,True,exterior,2,65.0,1,False,False,False,True,False,False,False,True,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en passeig de la mare de déu del coll 17,400.0,"pseo mare de déu del coll núm. 19,                                                                                                                             vallcarca-els penitents,                                                                                                                             barcelona capital",41.414494 ,2.1446738,"habitación amplia amoblada. cerca del vall de hebrón línea azul, cerca farmacias, mercados y gimnasio. barrio tranquilo",medium,True,False,False,exterior,3,70.0,1,False,False,False,True,False,False,False,True,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carretera de terrassa 430,300.0,"cra. terrassa núm. 430,                                                                                                                              can rull,                                                                                                                             sabadell",41.549606 ,2.081172,alquilo habitación individual amueblada para chica con ventana al exterior que sea limpia y que no fume,medium,True,False,True,exterior,3,65.0,1,True,False,False,True,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en avinguda de martí pujol 546,410.0,"avda. martí pujol núm. 546,                                                                                                                              bonavista-bufalà,                                                                                                                             badalona",41.45973 ,2.24012,"habitación en avinguda martí pujol, por bufalá. se alquila con el armario, estanterias, mesita de noche y una cama nido con 3 cajones que se puede convertir en cama doble. *el escritorio no está incluido y se vende a parte, así como el colchón que está actualmente (emma colchón), pero la cama dispone de otro colchón anterior.el piso tiene una pequeña terraza, perfecta para tomarte un café por la mañana o una bebida fresca por la tarde. el comedor es muy soleado, ya que es un cuarto piso (el edificio tiene ascensor). por último, tanto la cocina como el baño se reformaron hace apenas 5 años, por lo que todo es bastante nuevo.ahora mismo estamos viviendo dos chicos de 19 y 25 años. somos personas tranquilas y sencillas. buscamos a alguien aproximadamente de nuestra edad, a quien le interese entrar a partir de mayo.no se permiten mascotas.el depósito son 570€, de los cuales 320€ corresponden a fianza (que se devolverá al final de la estancia) y 250€ a gastos de gestión. el pago men",medium,False,False,False,exterior,3,66.0,1,True,False,False,True,False,False,False,True,True,False,,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer d'enric morera 41,380.0,"c/ enric morera núm. 41,                                                                                                                              can pantiquet-riera seca,                                                                                                                             mollet del vallès",41.543156 ,2.219198,habitacion interior amueblada. 3er piso con ascensor. supermercado y gimnasio a 2 calles. a 15 min de renfe.,medium,True,False,True,exterior,3,75.0,1,True,False,False,True,False,False,False,True,True,False,,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer de sant antoni 34,500.0,"c/ sant antoni núm. 34,                                                                                                                              centre,                                                                                                                             mataró",41.5370096 ,2.446838,"estoy buscando compañero o compañera de piso, el piso es muy luminoso y céntrico, a pocos minutos del centro y de la estación de tren.en el precio va incluido limpieza semanal y gastos.el piso dispone de dos habitaciones para la persona que desee alquilarlo, una más pequeña interior y otra grande exterior con armario empotrado.también tiene una terraza exterior, así como internet",medium,False,False,False,exterior,4,80.0,1,False,False,False,True,False,False,False,True,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
compartir barcelona autentica,850.0,"c/ gran via de les corts catalanes núm. 710,                                                                                                                             el fort pienc,                                                                                                                             barcelona capital",41.3956551 ,2.1772251,"piso tranquilo, agradable, artístico, céntrico, reformado...",medium,True,False,False,exterior,3,125.0,2,True,False,False,True,False,False,True,True,True,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de les planes 15,500.0,"c/ planes núm. 15,                                                                                                                                                                      sant joan despí, barcelona",41.366253 ,2.0706975,"alquilo buena habitación con ventana al exterior, muy luminosa, aire acondicionado dentro de la misma.el piso es un ático con una terracita, compartido con su propietario, hombre español y profesional de 55 años.buscamos alguien con alto sentido del respeto.",large,True,False,True,exterior,2,40.0,1,False,False,False,True,False,True,False,True,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer d'enric casanovas 10,365.0,"c/ enric casanovas núm. 10,                                                                                                                             la prosperitat,                                                                                                                             barcelona capital",41.43972 ,2.1783786,"hola buenas!alquilo habitación en el barrio de prosoeritat cerca de metro de vía julia/ llucmajorestoy buscando una chica trabajadora/ estudante para compartir piso con una persona más, yo .la habitación está completamente amueblada, cama mesita de officina, guarda ruopa, tiene ventana a un patio interior!busco alguien limpia e respetuosa, el piso está en n una zona súper tranquila com todos clase de servicios al redorpido copia de dny, última nómina y una fianza!se te interesa nada más que hablamos! un saludo",medium,True,False,True,exterior,3,88.0,1,False,False,False,True,False,True,False,True,True,True,good,,,True,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de vallparda 1,470.0,"c/ vallparda núm. 1,                                                                                                                              collblanc,                                                                                                                             l'hospitalet de llobregat",41.374454 ,2.1155055,"tienes entre 18 y 29 años? quieres vivir con estudiantes y trabajadores de tu edad? entonces es una habitacion para ti! habitación en piso compartido ideal para estudiantes nacionales y internacionales, jovenes trabajadores y becarios--------------------------------contactame por whatsapp y te podré contestar mas rápido : +34+625+278+991--------------------------------descripción piso :- referencia habitación : val3- districto : collblanc (collblanc)- habitaciones en el piso : 5- baños en el piso : 2sobre la habitación :- exterior habitación simple- habitación con cerradura- armario- escritorio- silla de escritorioequipamiento :- lavadora- horno- microondas- nevera- cocina eléctricatransporte :- metro más cerca :- estación fgc más cerca:información importante :- estancia mínima de 2 meses (hasta el final del mes de june).- alquiler mensual (1 persona(s)) : 470€ + 50€ (suministros)- fianza : 620€no se acceptan :- fumadores- parejas- familia con niño",medium,True,False,True,exterior,5,75.0,2,True,False,False,True,False,False,False,True,False,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de collblanc 61,500.0,"c/ collblanc núm. 61,                                                                                                                              collblanc,                                                                                                                             l'hospitalet de llobregat",41.37566 ,2.1181824,"tienes entre 18 y 29 años? quieres vivir con estudiantes y trabajadores de tu edad? entonces es una habitacion para ti! habitación en piso compartido ideal para estudiantes nacionales y internacionales, jovenes trabajadores y becarios--------------------------------contactame por whatsapp y te podré contestar mas rápido : +34+625+278+991--------------------------------descripción piso :- referencia habitación : llob2- districto : collblanc (collblanc)- habitaciones en el piso : 4- baños en el piso : 1sobre la habitación :- exterior habitación doble- escritorio- silla de escritorio- cajoneraequipamiento :- lavadora- horno- microondas- nevera- cocina eléctricatransporte :- metro más cerca : collblanc (l5,l9 - sud,l10 - nord)- estación fgc más cerca:información importante :- estancia mínima de 2 meses (hasta el final del mes de june).- alquiler mensual (1 persona(s)) : 500€ + 50€ (suministros)- fianza : 650€no se acceptan :- fumadores- parejas- familia",medium,True,False,True,exterior,4,65.0,1,False,False,False,True,False,False,False,True,False,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer principal 7,350.0,"c/ principal núm. 7,                                                                                                                                                                      collbató, barcelona",41.561577 ,1.8234632,se busca mujer para alquilar habitación en collbató. sólo personas serias preferiblemente llamada telefónica (666381959).,medium,False,True,True,exterior,1,140.0,1,False,False,False,False,False,False,False,False,False,False,good,,,True,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer d'ausiàs march 127,650.0,"c/ ausiàs march núm. 127,                                                                                                                             el fort pienc,                                                                                                                             barcelona capital",41.396355 ,2.1818101,"gran habitación con baño propio. buena luz. acceso a todas las zonas comunes de la casa, como cocina, comedor, trastero o lavadero. ambiente tranquilo, sin ruidos.",large,False,True,False,exterior,2,100.0,2,True,False,False,True,False,False,False,True,True,True,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer del doctor junyent 3,550.0,"c/ doctor junyent núm. 3,                                                                                                                              nord-el sucre-universitat,                                                                                                                             vic",41.92823 ,2.2516272,alquiler temporal abril - mayo - junio! hay 2 habitaciones dobles disponibles para alquilar en un piso compartido en el centro de vic. fechas de entrada y salida flexibles. visitas durante la semana que viene!,large,True,False,False,exterior,3,100.0,2,True,False,False,True,True,False,False,True,True,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de la gran via de les corts catalanes 10,500.0,"c/ gran via de les corts catalanes núm. 10,                                                                                                                              urbanitzacions niàgara parc-àgora parc-roca-rossa,                                                                                                                             tordera",41.717533 ,2.678821,"está en bcn no me encuentra la dirección  es la zona de bac de roda gran via de les corts catalanes 1025.busco alguien trankila y respetuosa. hay una gata muy buena. la zona esta bien comunicada tren metro y bus,supermercados,gimnasio.isteresados llamar 627859316 tere",small,True,False,True,exterior,2,60.0,1,True,False,False,True,False,False,False,True,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer de costa rica 15,350.0,"c/ costa rica núm. 15,                                                                                                                              font verda,                                                                                                                             granollers",41.61106 ,2.2951057,"buscamos una persona educada, tranquila y que sea respetuosa. somos jóvenes y buscamos la edad de compañeros entre 20-30 años. zona fácil aparcar y muy cerca del centro de granollers.",medium,True,False,False,exterior,5,100.0,3,True,False,False,True,False,False,False,True,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer de balmes 30,300.0,"c/ balmes núm. 21,                                                                                                                                                                      monistrol de montserrat, barcelona",41.6049353 ,1.8505017,"hola,busco una persons trabajadora, responsable y limpia para compartir piso que le guste la trankilidad",large,True,False,False,exterior,3,80.0,1,False,False,False,True,False,True,False,True,True,True,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de la riera del torrentbó 86,360.0,"c/ riera núm. 53,                                                                                                                                                                      caldes d'estrac, barcelona",41.574074 ,2.5255594,"alquilo habitación en piso a compartir, a 2 minuto a pie de balneario de aguas termales, las cuales se incluyen en el alquiler. a 5 minutos a pie de estación de tren renfe y playa.alquilo a persona con tendencia vegetariana y amante de la naturaleza, que trabaje o estudie.",medium,True,False,True,,3,60.0,1,False,False,False,True,False,False,False,True,True,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer del torrent de la santa 30,500.0,"c/ c/ santa eugènia núm. 77,                                                                                                                                                                      vilassar de mar, barcelona",41.5016735 ,2.3837726,"busco alguien responsable, respetuoso, con vida ordenada, limpio, honesto, solvente, tranquilo, con trabajo fijo, de horario diurno... estancia mínima de 6 meses.",medium,True,False,True,exterior,4,155.0,2,False,True,False,True,False,False,False,True,True,True,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer de puigllançada 18,480.0,"c/ puigllançada núm. 18,                                                                                                                              mion-puigberenguer,                                                                                                                             manresa",41.73789 ,1.820337,"piso a estrenar. ambiente tranquilo y de silencio. a 8 minutos andando de la fub de manresa. tiene cerca mercados, transporte público y centros de interés. para cualquier pregunta no dudes contactarnos.",large,True,False,False,exterior,3,80.0,1,False,False,False,True,False,False,False,True,False,False,new,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer del sant crist 47,600.0,"c/ sant crist núm. 47,                                                                                                                             sants,                                                                                                                             barcelona capital",41.374523 ,2.1383047,"alquilo habitación doble en el barrio de sants a partir del 1 de junio. en el piso vivimos mi perrito blai y yo que soy alba (chica de 30 años, majissiiima!!). la habitación estará sin muebles. en el piso hay también un despacho, que es ideal si teletrabajas. la finca tiene ascensor y esta super cerca del metro de plaça de sants.en cuanto a la convivencia, soy una persona super relajada y quiero que sientas el espacio como tuyo también. siéntete libre de vivir como quieras. mis únicos requisitos son el respeto por el orden y la limpieza de los espacios comunes :)",medium,False,False,False,exterior,3,50.0,1,True,False,False,True,False,False,False,True,False,False,good,,,True,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer de rocafort 46,500.0,"c/ rocafort núm. 46,                                                                                                                             sant antoni,                                                                                                                             barcelona capital",41.377625 ,2.1556783,"habitación sin amoblar en el corazón del barrio eixample¡hola! estoy ofreciendo una acogedora habitación sin amoblar en el encantador barrio eixample. la habitación está disponible para alquiler y viene con una serie de comodidades para que te sientas como en casa.características principales:habitación sin amoblar en un piso compartido.servicio de limpieza incluido para mayor comodidad.todos los servicios incluidos en el precio del alquiler.materiales de limpieza proporcionados para mantener el espacio impecable.perfil de compañera de piso buscada:persona tranquila y respetuosa.con empleo estable.no fumadora.ordenada y limpia.ubicación:el piso está convenientemente ubicado en el barrio eixample, conocido por su ambiente vibrante y su proximidad a una amplia variedad de tiendas, restaurantes y transporte público.detalles adicionales:el ambiente del piso es acogedor y amigable, ideal para aquellos que buscan un lugar tranquilo para llamar hogar.",medium,False,False,False,,1,110.0,2,True,False,False,True,True,False,False,True,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer de nàpols 108,550.0,"c/ nàpols núm. 106,                                                                                                                             el fort pienc,                                                                                                                             barcelona capital",41.39507 ,2.1799686,"habitación muy luminosa y amplia con cama en canapé. piso tranquilo y solitario,buscamos una persona limpia y ordenada, que quieres llegar a la casa. a descansar, no o admitimos fiestas. se comparte el piso con dos personas, hay 1 baño completo y un toilet. lgtb friendly.",large,True,False,False,exterior,3,74.0,2,True,False,False,True,False,False,False,True,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
